Team,SOS
Milwaukee Bucks,2.2066666666666666
Denver Nuggets,1.7766666666666666
Toronto Raptors,1.2166666666666668
Los Angeles Clippers,2.08
Oklahoma City Thunder,1.71
Golden State Warriors,1.6500000000000001
Charlotte Hornets,1.4966666666666668
Portland Trail Blazers,2.1366666666666667
Boston Celtics,1.8266666666666669
Indiana Pacers,1.2433333333333334
Memphis Grizzlies,1.6633333333333333
New Orleans Pelicans,1.8499999999999999
Dallas Mavericks,1.14
Philadelphia 76ers,1.656666666666667
San Antonio Spurs,1.7533333333333332
Houston Rockets,1.9266666666666667
Los Angeles Lakers,1.61
Detroit Pistons,1.0
Minnesota Timberwolves,2.016666666666667
Sacramento Kings,2.046666666666667
Utah Jazz,2.1966666666666668
Brooklyn Nets,1.5166666666666668
Orlando Magic,1.9833333333333334
Miami Heat,1.2566666666666668
Washington Wizards,2.016666666666667
New York Knicks,1.72
Cleveland Cavaliers,1.5133333333333334
Phoenix Suns,2.4833333333333334
Chicago Bulls,1.8933333333333335
Atlanta Hawks,1.6933333333333334
League Average,1.7466666666666668
