Team,W,L,PossOffense,PPPOffense,WLRatio,PPG
Atlanta Hawks,5,18,2460.84,0.992344077632028,0.21739130434782608,106.17391304347827
Boston Celtics,13,10,2345.48,1.0641744973310368,0.5652173913043478,108.5217391304348
Brooklyn Nets,8,16,2464.28,1.0619734770399467,0.3333333333333333,109.04166666666667
Charlotte Hornets,11,12,2403.08,1.0952610816119315,0.4782608695652174,114.43478260869566
Chicago Bulls,5,19,2504.64,0.9905615178229207,0.20833333333333334,103.375
Cleveland Cavaliers,4,18,2184.0,1.034798534798535,0.18181818181818182,102.72727272727273
Dallas Mavericks,10,10,2076.68,1.0656432382456613,0.5,110.64999999999999
Denver Nuggets,15,7,2232.64,1.0879496918446325,0.6818181818181818,110.40909090909092
Detroit Pistons,13,7,2107.76,1.0584696549891828,0.65,111.55
Golden State Warriors,15,9,2462.32,1.1294226583059879,0.625,115.87500000000001
Houston Rockets,11,11,2206.64,1.0971431678932677,0.5,110.04545454545455
Indiana Pacers,13,10,2323.92,1.0508106991634825,0.5652173913043478,106.17391304347828
Los Angeles Clippers,15,6,2232.24,1.105615883596746,0.7142857142857143,117.52380952380952
Los Angeles Lakers,14,9,2455.2,1.0561257738677094,0.6086956521739131,112.73913043478261
Memphis Grizzlies,13,9,2199.24,1.0444517196849823,0.5909090909090909,104.40909090909092
Miami Heat,9,13,2307.56,1.0313924665014127,0.4090909090909091,108.18181818181817
Milwaukee Bucks,15,7,2353.0,1.134721631959201,0.6818181818181818,121.36363636363636
Minnesota Timberwolves,11,12,2377.52,1.0624516302701976,0.4782608695652174,109.82608695652175
New Orleans Pelicans,12,12,2561.36,1.1037105287815847,0.5,117.79166666666667
New York Knicks,8,16,2506.84,1.0435448612595937,0.3333333333333333,108.99999999999999
Oklahoma City Thunder,14,7,2188.08,1.0561771050418631,0.6666666666666666,110.04761904761904
Orlando Magic,11,12,2331.6,1.0439183393377938,0.4782608695652174,105.82608695652173
Philadelphia 76ers,17,8,2648.88,1.0770589834194073,0.68,114.11999999999999
Phoenix Suns,4,19,2352.92,1.006409057681519,0.17391304347826086,102.95652173913042
Portland Trail Blazers,13,9,2272.72,1.091203491851174,0.5909090909090909,112.72727272727272
Sacramento Kings,11,11,2347.16,1.0715076944051536,0.5,114.31818181818183
San Antonio Spurs,10,12,2220.16,1.074697319112136,0.45454545454545453,108.45454545454544
Toronto Raptors,20,4,2489.68,1.129060762828958,0.8333333333333334,117.125
Utah Jazz,11,13,2438.96,1.0397874503886901,0.4583333333333333,105.66666666666666
Washington Wizards,9,14,2429.4,1.057874372272989,0.391304347826087,111.7391304347826
